image_url,movie_cast,movie_description,movie_director,movie_hero,movie_rating,movie_title,movie_votes,movie_year,rank
"https://images-na.ssl-images-amazon.com/images/M/MV5BNDBiZGJmY2EtZTNhYi00NTM2LWE2NjQtZTAyN2RlNDM4NjEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1._SY209_CR1,0,140,209_.jpg"," Dustin Hoffman, Susan George, Peter Vaughan, T.P. McKenna",A young American and his English wife come to rural England and face increasingly vicious local harassment. (113 mins.), Sam Peckinpah, Dustin Hoffman,7.5,Straw Dogs,48164.0,(1971),58
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxNzY3MzUxOV5BMl5BanBnXkFtZTcwMDA0NjMyNA@@._V1._SX140_CR0,0,140,209_.jpg"," William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson. (98 mins.), Joel Coen, William H. Macy,8.1,Fargo,497648.0,(1996),59
"https://images-na.ssl-images-amazon.com/images/M/MV5BYWUxOWY4NDctMDFmMS00ZTQwLWExMGEtODg0ZWNhOTE5NzZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1._SY209_CR3,0,140,209_.jpg"," Bill Pullman, Patricia Arquette, John Roselius, Louis Eppolito","After a bizarre encounter at a party, a jazz saxophonist is framed for the murder of his wife and sent to prison, where he inexplicably morphs into a young mechanic and begins leading a new life. (134 mins.)", David Lynch, Bill Pullman,7.6,Lost Highway,106730.0,(1997),60
"https://images-na.ssl-images-amazon.com/images/M/MV5BOTgwMzFiMWYtZDhlNS00ODNkLWJiODAtZDVhNzgyNzJhYjQ4L2ltYWdlXkEyXkFqcGdeQXVyNzEzOTYxNTQ@._V1._SY209_CR0,0,140,209_.jpg"," Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech","During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians. (114 mins.)", Morten Tyldum, Benedict Cumberbatch,8.0,The Imitation Game,543807.0,(2014),61
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NzMwMzkyNV5BMl5BanBnXkFtZTcwODk4NjQxMw@@._V1._SY209_CR0,0,140,209_.jpg"," Ewan McGregor, Pierce Brosnan, Olivia Williams, Jon Bernthal",A ghostwriter hired to complete the memoirs of a former British prime minister uncovers secrets that put his own life in jeopardy. (128 mins.), Roman Polanski, Ewan McGregor,7.2,The Ghost Writer,139608.0,(2010),62
"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NTI2NTI4NF5BMl5BanBnXkFtZTcwNjk2NDA2OQ@@._V1._SY209_CR0,0,140,209_.jpg"," Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine","In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea. (109 mins.)", Alfonso CuarÃ³n, Julianne Moore,7.9,Children of Men,389770.0,(2006),63
"https://images-na.ssl-images-amazon.com/images/M/MV5BYjYyODExMDctZjgwYy00ZjQwLWI4OWYtOGFlYjA4ZjEzNmY1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1._SY209_CR1,0,140,209_.jpg"," Kevin Costner, Gary Oldman, Jack Lemmon, Walter Matthau",New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story. (189 mins.), Oliver Stone, Kevin Costner,8.0,JFK,121047.0,(1991),64
"https://images-na.ssl-images-amazon.com/images/M/MV5BZWRhNDZkMzQtZDQ3Ny00NjdjLWJmZjAtMWQxNDQyZTYzZjU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1._SY209_CR4,0,140,209_.jpg"," Elias McConnell, Alex Frost, Eric Deulen, John Robinson",Several ordinary high school students go through their daily routine as two others prepare for something more malevolent. (81 mins.), Gus Van Sant, Elias McConnell,7.2,Elephant,74732.0,(2003),65
"https://images-na.ssl-images-amazon.com/images/M/MV5BNDUzNjYwNDYyNl5BMl5BanBnXkFtZTcwNjU3ODQ0MQ@@._V1._SX140_CR0,0,140,209_.jpg"," Ulrich MÃ¼he, Martina Gedeck, Sebastian Koch, Ulrich Tukur","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives. (137 mins.)", Florian Henckel von Donnersmarck, Ulrich MÃ¼he,8.5,The Lives of Others,283927.0,(2006),66
"https://images-na.ssl-images-amazon.com/images/M/MV5BYmY2ZGEwMTYtNjBmZS00OGE4LWEyMmUtNjAwMWUxZjVmZTRiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1._SX140_CR0,0,140,209_.jpg"," Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson","John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles. (131 mins.)", John McTiernan, Bruce Willis,8.2,Die Hard,643610.0,(1988),67
